取引先コード,取引先名,取引先名カナ,郵便番号,都道府県,住所1,住所2,電話番号,FAX番号,配送業者コード,配送業者名,備考,使用区分,作成日時,作成者コード,作成者名,更新日時,更新者コード,更新者名
SUP029,九州配送29,キュウシュウハイソウ29,810-0029,福岡県,福岡市,29-29-29,092-500-0029,,DC003,西濃運輸,サンプル,有効,2026/03/24 15:11:59,A002,佐藤次郎,2026/03/25 14:36:55,A002,佐藤次郎
SUP028,九州配送28,キュウシュウハイソウ28,810-0028,福岡県,福岡市,28-28-28,092-500-0028,,DC002,佐川急便,サンプル,有効,2026/03/24 15:11:59,A002,佐藤次郎,2026/03/25 14:36:55,A002,佐藤次郎
SUP027,九州配送27,キュウシュウハイソウ27,810-0027,福岡県,福岡市,27-27-27,092-500-0027,,DC001,ヤマト運輸,サンプル,有効,2026/03/24 15:11:59,A002,佐藤次郎,2026/03/25 14:36:55,A002,佐藤次郎
SUP026,九州配送26,キュウシュウハイソウ26,810-0026,福岡県,福岡市,26-26-26,092-500-0026,,DC003,西濃運輸,サンプル,有効,2026/03/24 15:11:59,A002,佐藤次郎,2026/03/25 14:36:55,A002,佐藤次郎
SUP025,北海物流25,ホッカイブツリュウ25,060-0025,北海道,札幌市,25-25-25,011-400-0025,,DC002,佐川急便,サンプル,有効,2026/03/24 15:11:59,A001,山田太郎,2026/03/25 14:36:55,A001,山田太郎
SUP024,北海物流24,ホッカイブツリュウ24,060-0024,北海道,札幌市,24-24-24,011-400-0024,,DC001,ヤマト運輸,サンプル,有効,2026/03/24 15:11:59,A001,山田太郎,2026/03/25 14:36:55,A001,山田太郎
SUP023,北海物流23,ホッカイブツリュウ23,060-0023,北海道,札幌市,23-23-23,011-400-0023,,DC003,西濃運輸,サンプル,有効,2026/03/24 15:11:59,A001,山田太郎,2026/03/25 14:36:55,A001,山田太郎
SUP022,北海物流22,ホッカイブツリュウ22,060-0022,北海道,札幌市,22-22-22,011-400-0022,,DC002,佐川急便,サンプル,有効,2026/03/24 15:11:59,A001,山田太郎,2026/03/25 14:36:55,A001,山田太郎
SUP021,北海物流21,ホッカイブツリュウ21,060-0021,北海道,札幌市,21-21-21,011-400-0021,,DC001,ヤマト運輸,サンプル,有効,2026/03/24 15:11:59,A001,山田太郎,2026/03/25 14:36:55,A001,山田太郎
SUP020,グリーン商事20,グリーンショウジ20,460-0020,愛知県,名古屋市中区,20-20-20,052-300-0020,,DC003,西濃運輸,サンプル,有効,2026/03/24 15:11:59,A003,鈴木一郎,2026/03/25 14:36:55,A003,鈴木一郎
SUP019,グリーン商事19,グリーンショウジ19,460-0019,愛知県,名古屋市中区,19-19-19,052-300-0019,,DC002,佐川急便,サンプル,有効,2026/03/24 15:11:59,A003,鈴木一郎,2026/03/25 14:36:55,A003,鈴木一郎
SUP018,グリーン商事18,グリーンショウジ18,460-0018,愛知県,名古屋市中区,18-18-18,052-300-0018,,DC001,ヤマト運輸,サンプル,有効,2026/03/24 15:11:59,A003,鈴木一郎,2026/03/25 14:36:55,A003,鈴木一郎
SUP017,グリーン商事17,グリーンショウジ17,460-0017,愛知県,名古屋市中区,17-17-17,052-300-0017,,DC003,西濃運輸,サンプル,有効,2026/03/24 15:11:59,A003,鈴木一郎,2026/03/25 14:36:55,A003,鈴木一郎
SUP016,グリーン商事16,グリーンショウジ16,460-0016,愛知県,名古屋市中区,16-16-16,052-300-0016,,DC002,佐川急便,サンプル,有効,2026/03/24 15:11:59,A003,鈴木一郎,2026/03/25 14:36:55,A003,鈴木一郎
SUP015,サンプル物流15,サンプルブツリュウ15,530-0015,大阪府,大阪市北区,15-15-15,06-2000-0015,,DC001,ヤマト運輸,サンプル,有効,2026/03/24 15:11:59,A002,佐藤次郎,2026/03/25 14:36:55,A002,佐藤次郎
SUP014,サンプル物流14,サンプルブツリュウ14,530-0014,大阪府,大阪市北区,14-14-14,06-2000-0014,,DC003,西濃運輸,サンプル,有効,2026/03/24 15:11:59,A002,佐藤次郎,2026/03/25 14:36:55,A002,佐藤次郎
SUP013,サンプル物流13,サンプルブツリュウ13,530-0013,大阪府,大阪市北区,13-13-13,06-2000-0013,,DC002,佐川急便,サンプル,有効,2026/03/24 15:11:59,A002,佐藤次郎,2026/03/25 14:36:55,A002,佐藤次郎
SUP012,サンプル物流12,サンプルブツリュウ12,530-0012,大阪府,大阪市北区,12-12-12,06-2000-0012,,DC001,ヤマト運輸,サンプル,有効,2026/03/24 15:11:59,A002,佐藤次郎,2026/03/25 14:36:55,A002,佐藤次郎
SUP011,サンプル物流11,サンプルブツリュウ11,530-0011,大阪府,大阪市北区,11-11-11,06-2000-0011,,DC003,西濃運輸,サンプル,有効,2026/03/24 15:11:59,A002,佐藤次郎,2026/03/25 14:36:55,A002,佐藤次郎
SUP010,サンプル商事10,サンプルショウジ10,100-0010,東京都,千代田区,10-10-10,03-1000-0010,,DC002,佐川急便,サンプル,有効,2026/03/24 15:11:59,A001,山田太郎,2026/03/25 14:36:55,A001,山田太郎
SUP009,サンプル商事9,サンプルショウジ9,100-0009,東京都,千代田区,9-9-9,03-1000-0009,,DC001,ヤマト運輸,サンプル,有効,2026/03/24 15:11:59,A001,山田太郎,2026/03/25 14:36:55,A001,山田太郎
SUP008,サンプル商事8,サンプルショウジ8,100-0008,東京都,千代田区,8-8-8,03-1000-0008,,DC003,西濃運輸,サンプル,有効,2026/03/24 15:11:59,A001,山田太郎,2026/03/25 14:36:55,A001,山田太郎
SUP007,サンプル商事7,サンプルショウジ7,100-0007,東京都,千代田区,7-7-7,03-1000-0007,,DC002,佐川急便,サンプル,有効,2026/03/24 15:11:59,A001,山田太郎,2026/03/25 14:36:55,A001,山田太郎
SUP006,サンプル商事6,サンプルショウジ6,100-0006,東京都,千代田区,6-6-6,03-1000-0006,,DC001,ヤマト運輸,サンプル,無効,2026/03/24 15:11:59,A001,山田太郎,2026/03/25 14:36:55,A001,山田太郎
SUP005,九州トランスポート,キュウシュウトランスポート,810-0001,福岡県,福岡市中央区天神,5-5-5 天神ビル,092-555-5555,092-555-5556,DC002,佐川急便,九州配送,有効,2026/03/23 14:48:30,A001,山田太郎,2026/03/25 14:36:55,A003,鈴木一郎
SUP004,株式会社北海商事,カブシキガイシャホッカイショウジ,060-0001,北海道,札幌市中央区,4-4-4,011-444-4444,,DC001,ヤマト運輸,北海道エリア,有効,2026/03/23 14:48:30,A003,鈴木一郎,2026/03/25 14:36:55,A003,鈴木一郎
SUP003,グリーンフーズ株式会社,グリーンフーズカブシキガイシャ,460-0001,愛知県,名古屋市中区栄,3-3-3 栄ビル,052-333-3333,052-333-3334,DC002,佐川急便,食品系,有効,2026/03/23 14:48:30,A002,佐藤次郎,2026/03/25 14:36:55,A002,佐藤次郎
SUP002,田中物流株式会社,タナカブツリュウカブシキガイシャ,530-0001,大阪府,大阪市北区梅田,2-2-2 梅田タワー,06-2222-2222,,DC002,佐川急便,関西拠点,有効,2026/03/23 14:48:30,A001,山田太郎,2026/03/25 14:36:55,A002,佐藤次郎
SUP001,株式会社山田商事,カブシキガイシャヤマダショウジ,150-0001,東京都,渋谷区神宮前,1-1-1 山田ビル,03-1111-1111,03-1111-1112,DC002,佐川急便,メイン取引先,有効,2026/03/23 14:48:30,A001,山田太郎,2026/03/25 14:36:55,A001,山田太郎
