"商品コード","JANコード","商品名","商品名カナ","原価","売価","分類","使用区分","作成日時","作成者コード","作成者名","更新日時","更新者コード","更新者名"
"10000039","4900000000394","蛍光ペン黄","ｹｲｺｳﾍﾟﾝｷ","88.00","132","2","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000040","4900000000400","付箋メモ","ﾌｾﾝﾒﾓ","148.00","222","2","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000041","4900000000417","コピー用紙A4 100枚","ｺﾋﾟｰﾖｳｼA4 100ﾏｲ","298.00","447","2","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000042","4900000000424","封筒長形3号","ﾌｳﾄｳﾅｶﾞｶﾀ3ｺﾞｳ","118.00","177","2","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000043","4900000000431","はさみ","ﾊｻﾐ","198.00","297","2","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000044","4900000000448","セロハンテープ","ｾﾛﾊﾝﾃｰﾌﾟ","108.00","162","2","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000046","4900000000462","電池単3 4本入","ﾃﾞﾝﾁﾀﾝ3 4ﾎﾝｲﾘ","298.00","447","2","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000047","4900000000479","延長コード1m","ｴﾝﾁｮｳｺｰﾄﾞ1M","780.00","1170","2","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000048","4900000000486","LED電球60形","LEDﾃﾞﾝｷｭｳ60ｶﾞﾀ","598.00","897","2","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000049","4900000000493","収納ボックスM","ｼｭｳﾉｳﾎﾞｯｸｽM","680.00","1020","2","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000050","4900000000509","収納ボックスL","ｼｭｳﾉｳﾎﾞｯｸｽL","880.00","1320","2","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000051","4900000000516","ハンガー5本組","ﾊﾝｶﾞｰ5ﾎﾝｸﾞﾐ","198.00","297","2","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000052","4900000000523","洗濯ばさみ20個入","ｾﾝﾀｸﾊﾞｻﾐ20ｺｲﾘ","158.00","237","2","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000053","4900000000530","卓上カレンダー","ﾀｸｼﾞｮｳｶﾚﾝﾀﾞｰ","348.00","522","2","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000054","4900000000547","壁掛けフック3個入","ｶﾍﾞｶｹﾌｯｸ3ｺｲﾘ","178.00","267","2","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000055","4900000000554","小物ケース","ｺﾓﾉｹｰｽ","220.00","330","2","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000056","4900000000561","台所用スポンジ3個入","ﾀﾞｲﾄﾞｺﾛﾖｳｽﾎﾟﾝｼﾞ3ｺｲﾘ","98.00","147","3","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000057","4900000000578","食器用洗剤詰替","ｼｮｯｷﾖｳｾﾝｻﾞｲﾂﾒｶｴ","168.00","252","3","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000058","4900000000585","浴室用洗剤","ﾖｸｼﾂﾖｳｾﾝｻﾞｲ","198.00","297","3","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000059","4900000000592","トイレ用洗剤","ﾄｲﾚﾖｳｾﾝｻﾞｲ","198.00","297","3","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000060","4900000000608","ハンドソープ本体","ﾊﾝﾄﾞｿｰﾌﾟﾎﾝﾀｲ","248.00","372","3","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000061","4900000000615","ハンドソープ詰替","ﾊﾝﾄﾞｿｰﾌﾟﾂﾒｶｴ","178.00","267","3","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000062","4900000000622","歯ブラシふつう","ﾊﾌﾞﾗｼﾌﾂｳ","98.00","147","3","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000063","4900000000639","歯みがき粉","ﾊﾐｶﾞｷｺ","138.00","207","3","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000064","4900000000646","シャンプー本体","ｼｬﾝﾌﾟｰﾎﾝﾀｲ","498.00","747","3","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000065","4900000000653","コンディショナー本体","ｺﾝﾃﾞｨｼｮﾅｰﾎﾝﾀｲ","498.00","747","3","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000066","4900000000660","ボディソープ本体","ﾎﾞﾃﾞｨｿｰﾌﾟﾎﾝﾀｲ","458.00","687","3","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000067","4900000000677","洗濯洗剤本体","ｾﾝﾀｸｾﾝｻﾞｲﾎﾝﾀｲ","398.00","597","3","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000068","4900000000684","柔軟剤本体","ｼﾞｭｳﾅﾝｻﾞｲﾎﾝﾀｲ","398.00","597","3","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000069","4900000000691","キッチンペーパー4ロール","ｷｯﾁﾝﾍﾟｰﾊﾟｰ4ﾛｰﾙ","248.00","372","3","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000070","4900000000707","ウェットティッシュ","ｳｪｯﾄﾃｨｯｼｭ","118.00","177","3","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000071","4900000000714","ゴミ袋45L 20枚","ｺﾞﾐﾌﾞｸﾛ45L 20ﾏｲ","198.00","297","3","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000072","4900000000721","ゴミ袋30L 20枚","ｺﾞﾐﾌﾞｸﾛ30L 20ﾏｲ","168.00","252","3","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000073","4900000000738","マスク7枚入","ﾏｽｸ7ﾏｲｲﾘ","138.00","207","3","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000074","4900000000745","綿棒100本入","ﾒﾝﾎﾞｳ100ﾎﾝｲﾘ","98.00","147","3","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000075","4900000000752","除菌シート","ｼﾞｮｷﾝｼｰﾄ","128.00","192","3","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000076","4900000000769","長袖Tシャツ白L","ﾅｶﾞｿﾃﾞTｼｬﾂｼﾛL","780.00","1170","4","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000077","4900000000776","長袖Tシャツ黒M","ﾅｶﾞｿﾃﾞTｼｬﾂｸﾛM","780.00","1170","4","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000078","4900000000783","ポロシャツ紺M","ﾎﾟﾛｼｬﾂｺﾝM","980.00","1470","4","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000079","4900000000790","ポロシャツ白L","ﾎﾟﾛｼｬﾂｼﾛL","980.00","1470","4","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000080","4900000000806","靴下黒25-27cm","ｸﾂｼﾀｸﾛ25-27CM","198.00","297","4","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000081","4900000000813","靴下白25-27cm","ｸﾂｼﾀｼﾛ25-27CM","198.00","297","4","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000082","4900000000820","インナーシャツM","ｲﾝﾅｰｼｬﾂM","498.00","747","4","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000083","4900000000837","インナーシャツL","ｲﾝﾅｰｼｬﾂL","498.00","747","4","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000084","4900000000844","作業手袋M","ｻｷﾞｮｳﾃﾌﾞｸﾛM","248.00","372","4","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000085","4900000000851","作業手袋L","ｻｷﾞｮｳﾃﾌﾞｸﾛL","248.00","372","4","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000086","4900000000868","ニット帽黒","ﾆｯﾄﾎﾞｳｸﾛ","680.00","1020","4","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000087","4900000000875","キャップ紺","ｷｬｯﾌﾟｺﾝ","780.00","1170","4","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000088","4900000000882","エプロン無地","ｴﾌﾟﾛﾝﾑｼﾞ","880.00","1320","4","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000089","4900000000899","レインコートM","ﾚｲﾝｺｰﾄM","1280.00","1920","4","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000090","4900000000905","レインコートL","ﾚｲﾝｺｰﾄL","1280.00","1920","4","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000091","4900000000912","パーカー灰M","ﾊﾟｰｶｰﾊｲM","1480.00","2220","4","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000092","4900000000929","パーカー黒L","ﾊﾟｰｶｰｸﾛL","1480.00","2220","4","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000093","4900000000936","スウェットパンツM","ｽｳｪｯﾄﾊﾟﾝﾂM","1280.00","1920","4","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000094","4900000000943","スウェットパンツL","ｽｳｪｯﾄﾊﾟﾝﾂL","1280.00","1920","4","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000095","4900000000950","ネックウォーマー","ﾈｯｸｳｫｰﾏｰ","580.00","870","4","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000096","4900000000967","キーケース黒","ｷｰｹｰｽｸﾛ","680.00","1020","5","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000097","4900000000974","小銭入れ茶","ｺｾﾞﾆｲﾚﾁｬ","880.00","1320","5","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000098","4900000000981","パスケース紺","ﾊﾟｽｹｰｽｺﾝ","780.00","1170","5","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000099","4900000000998","折りたたみ傘黒","ｵﾘﾀﾀﾐｶｻｸﾛ","980.00","1470","5","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000100","4900000001001","折りたたみ傘紺","ｵﾘﾀﾀﾐｶｻｺﾝ","980.00","1470","5","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000101","4900000001018","モバイルポーチ","ﾓﾊﾞｲﾙﾎﾟｰﾁ","780.00","1170","5","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000102","4900000001025","ハンドタオル青","ﾊﾝﾄﾞﾀｵﾙｱｵ","198.00","297","5","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000103","4900000001032","ハンドタオル白","ﾊﾝﾄﾞﾀｵﾙｼﾛ","198.00","297","5","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000104","4900000001049","ミニポーチ黒","ﾐﾆﾎﾟｰﾁｸﾛ","580.00","870","5","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000105","4900000001056","ミニポーチ灰","ﾐﾆﾎﾟｰﾁﾊｲ","580.00","870","5","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000106","4900000001063","カードケース","ｶｰﾄﾞｹｰｽ","680.00","1020","5","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000107","4900000001070","ネームホルダー","ﾈｰﾑﾎﾙﾀﾞｰ","298.00","447","5","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000108","4900000001087","ストラップ黒","ｽﾄﾗｯﾌﾟｸﾛ","248.00","372","5","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000109","4900000001094","ストラップ青","ｽﾄﾗｯﾌﾟｱｵ","248.00","372","5","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000110","4900000001100","エコバッグM","ｴｺﾊﾞｯｸﾞM","380.00","570","5","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000111","4900000001117","エコバッグL","ｴｺﾊﾞｯｸﾞL","480.00","720","5","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000112","4900000001124","保冷バッグS","ﾎﾚｲﾊﾞｯｸﾞS","680.00","1020","5","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000113","4900000001131","保冷バッグM","ﾎﾚｲﾊﾞｯｸﾞM","780.00","1170","5","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000114","4900000001148","保冷バッグL","ﾎﾚｲﾊﾞｯｸﾞL","880.00","1320","5","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
"10000115","4900000001155","携帯用ミラー","ｹｲﾀｲﾖｳﾐﾗｰ","320.00","480","5","無効","2026/03/18 10:00:00","001","山田　太郎","","",""
